taxon,description
Panicum repens,"

Perennial, rhizomatous. Culms tough, erect or decumbent, 30–125 cm tall. Leaves cauline; leaf sheaths glabrous, striate, puberulous to ciliate on margins, especially toward throat; leaf blades linear, flat or convolute, often stiff and pungent, markedly distichous, ascending close to the culm, 7–25 × 0.2–0.8 cm, apex acute or acuminate; ligule 0.5–1.5 mm, a ciliolate membrane. Panicle terminal, narrowly oblong in outline, 5–20 cm, sparsely to moderately branched; branches glabrous, scabrid, ascending. Spikelets ovate, 2.5–3 mm, acute; lower glume broadly ovate, 1/3 length of spikelet, hyaline, 1(–3)-veined, clasping at the base of the spikelet, obtuse or acute; upper glume ovate, as long as spikelet, membranous, 7–9-veined, acute; lower floret staminate, lemma similar to upper glume, palea well developed; upper floret almost as long as spikelet, pale yellow, shiny. Fl. and fr. Jun–Nov. 2n = 40."
Paspalum scrobiculatum,"

Perennial or annual. Culms tufted, slender to robust, erect or decumbent and rooting at lower nodes, 30–90(–150) cm tall. Leaf sheaths compressed, keeled, usually glabrous; leaf blades linear or linear-lanceolate, 10–40 × 0.4–1.2 cm, usually glabrous, base subrounded, margins scabrous, apex acuminate; ligule 0.5–1 mm. Inflorescence of 2–5(–8) racemes, subdigitate or on a short axis; racemes 3–10 cm, ascending to widely spreading; spikelets usually single, overlapping in 2 rows, sometimes paired especially in middle of raceme; rachis ribbonlike, 1.5–3 mm wide, margins scabrous. Spikelets green becoming brown, suborbicular, ovate or broadly elliptic, 2–3 mm, glabrous, obtuse to apiculate; upper glume membranous, 3–7-veined; lower lemma membranous or sometimes indurate, 3–5(–7)-veined; upper lemma brown at maturity, subequaling spikelet, coriaceous, finely striate, obtuse. Fl. and fr. May–Nov. 2n = 20, 40 or 60."
Paspalum scrobiculatum,"

Perennial; culms 10-150 cm high, 1-6 mm in diameter, 2-17-noded, the nodes commonly exposed, erect, or ascending from a procumbent base and rooting at the lower nodes. Leaf-blades linear, 5-40 cm long, 3-15 mm wide, tapering to a filiform tip. Inflorescence composed of 1-20 racemes, these digitate or borne on an axis up to 8 cm long, the lowest raceme 4-15 cm long, with spikelets borne singly on a ribbon-like rhachis 1-2.5 mm wide. Spikelets broadly elliptic, obovate or suborbicular, 1.4-3 mm long, green, becoming brown; lower glume absent; upper glume papery; lower lemma similar or rarely coriaceous, 3-5-nerved (in the latter case the nerves evenly spaced or the laterals close together); upper lemma finely striate, brown at maturity."
Phragmites australis,"A stout, erect, rhizomatous perennial reed, 1.5-3 m. Culms erect rigid, stout, usually unbranched, many noded. Lvs greyish-green, smooth; sheaths rounded on the back, overlapping, loose so that leaves point in one direction in the wind; ligule a dense ring of short hairs; blades to 20-60 cm by 10-30 mm, tapering to long slender points, contracted at the base, smooth, glaucous below, tough, deciduous in winter.  Panicle 15-40 cm,  erect or finally nodding, loose to dense, soft, dull purple;  spikelets 10-16 mm,  at length gaping, rachilla hairy, (1-)2-6 florets, the lowest floret male, the others bisexual;  glumes unequal, lower 9-13 mm, upper to 4.5-7.5 mm, lanceolate, acuminate, 3-5 nerved, fertile lemmas surrounded by white silky hairs to 9 mm; palea 3-4 mm. Anthers 3-4 mm. "
Phragmites australis,"

Robust perennial from an extensive creeping rhizome; overground stolons sometimes present, straight, nodes glabrous. Culms up to 2 m or more tall, ca. 6 mm in diam., usually farinose below nodes, nodes glabrous or pubescent. Leaf sheaths light green, glabrous or thinly hairy; leaf blades usually drooping, up to 50 × 1–3 cm, smooth or margins scabrous, tapering to a filiform apex; ligule a minute membranous rim, ciliate, hairs 0.2–0.6 mm. Panicle 20–50 × ca. 10 cm, branches of lowermost whorl usually spiculate to base, densely hirsute at insertion; pedicels 2–4 mm, glabrous or pilose only at base. Spikelets 10–18 mm, florets 2–5; glumes acute, lower glume up to 1/2 length of lowest lemma, 3–5 mm, upper glume 6–9 mm; lowest lemma linear-lanceolate, 8–15 mm; floret callus with hairs equal to lemma; bisexual lemmas very narrowly lanceolate, 9–16 mm, apex long attenuate. Fl. and fr. Jul–Nov. 2n = 36, 44, 46, 48, 49, 50, 51, 52, 54, 84, 96, 120."
Phragmites australis,"

Perennial reed, with creeping rhizomes. Culms erect, 1.5-3(6) m high. Leaf-blades 20-60 cm (or more) long and 8-32 mm wide, glabrous, smooth beneath, the tips filiform and flexuous (sometimes stiff and pungent, see below). Panicle 20-30(-50) cm long and 6-10(-15) cm wide, the lowest node usually few-branched, some of the branches bearing spikelets nearly to their base. Spikelets 12-18 mm long, the rhachilla-hairs 6-10 mm long, copious, silky; lower glume 3-4.5 mm long; upper glume lanceolate, 5-9 mm long, sharply acute, usually apiculate; lowest lemma linear lanceolate to linear-oblong, 8-15 mm long; fertile lemmas very narrowly lanceolate, 9-13 mm long."
Phragmites karka,"

Robust perennial from an extensive creeping rhizome. Culms very stout, often woody, 4–6 m tall, 1.5–2.5 cm in diam. Leaf sheaths greenish, glabrous; leaf blades erect-ascending, up to 80 × 2–3 cm, abaxial surface scabrous, apex stiff, long acuminate; ligule 0.5–1 mm, ciliolate. Panicle 30–50 × 10–20 cm; branches of lowermost whorl bare of spikelets toward base, ± glabrous at insertion. Spikelets 10–12 mm, florets 4–6; glumes lanceolate-elliptic, obtuse to acuminate, lower glume up to 1/2 length of lowest lemma, 2.5–4 mm, upper glume 3.5–5 mm; lowest lemma narrowly elliptic, 7–12 mm; floret callus with hairs 4–8 mm; bisexual lemmas linear-lanceolate, 8.5–10 mm, apex long attenuate. Fl. and fr. autumn. 2n = 24, 36, 38, 48.


This is a very robust species found in warm parts of the Old World. It has stiffer, more scabrous leaf blades and smaller spikelets with shorter callus hairs than Phragmites australis."
Phragmites karka,"

Perennial reed, with creeping rhizomes. Culms erect, up to 10m high. Leaf-blades 30-80 cm long and 12-40 nun wide, glabrous, rough to the touch beneath (at least in the upper half), the tips attenuate and stiff (occasionally almost smooth or with filiform tips). Panicle 30-50 cm long, 10-20 cm wide, the lowest node often many-branched in a whorl, the branches bare of spikelets for some distance from their base. Spikelets 9-12 mm long, the rhachilla-hairs 4-7 mm long, rather sparse; lower glume just over half as long as the upper; upper glume narrowly elliptic to very narrowly elliptic, 4-6 mm long, acute to subacute; lowest lemma very narrowly elliptic, 7.5-12 mm long; fertile lemmas very narrowly lanceolate, 85-11 mm long."
Veronica beccabunga,"A glabrous perennial 20-60 cm. Stems procumbent or floating, rooting at nodes, flowering stems ascending, fleshy. Lvs 3-6 cm, rather thick and fleshy, ovate-oblong, obtuse, base rounded, shallowly crenate-serrate, shortly petiolate. Infl racemose, opposite, rather lax, 10-30 fld. Bracts linear-lanceolate, Pedicels ± patent in fr, ± equalling bracts. Calyx usually 4-lobed, lobes narrowly ovate, acute. Corolla 7-8 mm diam, with a very short tube and rotate 4-lobed limb, the upper lobe largest, blue. Stamens 2.  Capsule 2-4 mm, ± orbicular, retuse, shorter than calyx, notched at the top."
Hibiscus tiliaceus,"

Shrubs evergreen or trees, 4-10 m tall, to 60 cm d.b.h.; bark gray-white. Branchlets glabrous or nearly so, rarely stellate puberulent or stellate. Stipules foliaceous, oblong, ca. 2 × 1.2 cm, stellate pilose, apex rounded, caducous; petiole 3-8 cm; leaf blade nearly orbicular to broadly ovate, 8-15 × 8-15 cm, leathery, green, abaxially densely gray-white stellate puberulent, adaxially very sparsely stellate scaly, glabrescent, basal veins 7 or 9, base cordate, margin entire or obscurely crenate, apex abruptly acuminate. Inflorescence a 1- to few-flowered racemelike cyme, terminal or axillary; peduncle 4-5 cm. Pedicel 1-3 cm, with 1 pair of stipulelike bracteoles at base. Epicalyx lobes 7-10, joined for 1/3-1/2 of length, free lobes 2-2.5 mm, triangular-acuminate with slightly rounded sinuses, densely gray-white stellate puberulent. Calyx 1.5-2.5 cm, connate proximally for 1/4-1/3 of length, lobes 5, lanceolate, stellate puberulent, persistent. Corolla yellow with dark purple center, campanulate, 6-7.5 cm in diam.; petals obovate, 4-4.5 cm, yellow stellate puberulent abaxially. Filament tube ca. 3 cm, glabrous. Style branches 5, slender, with glandular hairs. Capsule subglobose to ovoid, ca. 2 cm, obscurely beaked, densely fascicled-hirsute, valves 5, woody. Seeds reniform, smooth, glabrous. Fl. Jun-Aug."
Hibiscus tiliaceus,"

A medium sized tree with stellate tomentum, glabrescent. Leaves 3-20 (-30) cm long, 2-20 (-30) cm broad, orbicular to ovate, cordate at base, usually entire or undulate to crenate, acute to acuminate, almost glabrous above, hairy below, lower surface at base with linear glands on 1-5 nerves, coriaceous; stipules foliaceous, clasping the stem, 1-3 cm long, 0.5-1 cm broad, ovate, caducous. Flowers solitary, clustered at the end of branches; pedicel c. 1 cm long, in fruit up to 2 cm, stellate pubescent. Epicalyx cupular, 5-10 mm long, 7-12 toothed; teeth deltoid or triangular, 2-3 mm long and broad. Calyx 1/3 to 1/2 fused, 1.5-3 cm long; lobes lanceolate, c. 1 cm broad, each with linear gland on the central nerve. Corolla 5-8 cm across, yellow with or without crimson centre; petals obovate, 4.5-7 cm long, 4-5 cm broad, claw slightly hairy on margin. Staminal column c. 3 cm long. Ovary oblong, pubescent, 5 mm long. Capsule 2-3 cm long, c. 2 cm broad, beaked, densely stellate hairy, 10 celled. Seeds many, dark brown 4-5 mm long, reniform, stellulate hairy.

Type: Herb. Hermann vol. 3: fol. 51. Linn n. 258 (BM!). "
Echinochloa crus-galli," An erect, glabrous, tufted annual, (25-)30-100(-125) cm. Culms erect (or spreading) stout, usually branched. Lvs glabrous; sheaths keeled; lamina 8-35 x 0.8-2 cm, finely pointed, soft, margins thickened, rough to finely serrate; Ligule 0.           Infls a panicle, 6-20 x 8 cm, lanceolate to ovate, nodding or erect, of a few to many scattered or clustered spike-like racemes; racemes to 6 cm, very dense, green-purple, usually with bristly hairs, axes rough. Spikelets 2-4 mm, crowded in pairs or clusters on one side of the axis, ovate elliptic pointed or awned, with two florets, the lower sterile, the upper bisexual. Glumes membranous; Lower Glume broad, 1/3 the length of the spikelet, 5 nerved; Upper Glume covering the rounded back of the spikelet, 5-nerved, nerves with short spiny hairs; Lower Lemma as long as the spikelet, similar to the uper glume, flat or depressed on the back, pointed or cuspidate, or awned to 5 cm, Palea shorter than the lemma; Upper Lemma as long as the spikelet, ovate, acuminate, rounded on the back, tough, shiny white or yellowish, Palea as long as the lemma, reflexed at apes, indurate. Lodicules 2, fleshy.  Anthers 1 mm,   C,T.M., C.S., C.E.H., Grassbase"
Echinochloa crus-galli,"

Coarse annual; culms 25-100 cm high, erect or ascending. Leaf-blades 7-35 cm long, 4-20 mm wide; ligule absent; sheaths glabrous, rarely appressed hairy. Inflorescence linear to ovate, 6-22 cm long, the racemes untidily 2-several-rowed, the longest 2-10 cm long, usually with short secondary branchlets at the base. Spikelets ovate-elliptic, mostly 3-.4 mm long, hispid; lower lemma acuminate or with an awn up to 5 cm long; upper lemma 2-3 mm long, including the short herbaceous tip.


Echinochloa crus-galli (Cockspur Grass, Cockspur Panic-grass, Barn-yard Grass, Barnyard Millet) is distinguished by its untidy racemes of acuminate or awned spikelets. It is a polymorphic weed of warm temperate and subtropical regions, whose numerous intergrading races are apparently the consequence of cleistogamous self-pollination. There is much uncertainty as to which segregates are worth recognising as species (see, for example, Gould, Fairbrothers and Ali in Amer. Midl. Nat. 7: 36-59.1972 for North America; and Vickery in Flora New South Wales, Gram. 189-211.1975 for Australia)."
Acacia confusa,"

Trees, evergreen, 6-15 m tall, glabrous. Branches gray or brown, unarmed; branchlets slender, angular. Phyllodes straight or slightly falcate, linear-lanceolate, 6-10 × 0.5-1.3 cm, leath­ery, both surfaces glabrous, conspicuous longitudinal veins (3-)5(-8), both ends acuminate, apex slightly obtuse, usually with hooked acumen. Heads solitary or 2- or 3-fasiculate, axil­lary, globose, ca. 0.7 cm in diam.; peduncles 7-13 mm, slender. Flowers golden yellow, fragrant. Calyx 1-1.3 mm. Petals greenish, 1.5-1.9 mm. Stamens numerous, ca. 3.5 mm. Ovary yellow-brown villous; style ca. 4 mm. Legume black-brown, flat, 4-9(-12) × 0.7-1 cm. Seeds broadly elliptic, 5-6 × 3.5-5 mm. Fl. Mar-Oct, fr. Aug-Dec. 2n = 26*.


This tree is grown for its wood and tannins. The seeds are poi­sonous."
Paspalum vaginatum,"

Perennial with short rhizome and long stolons. Culms solitary or tufted, many-noded, 10–50 cm tall. Leaf sheaths imbricate, often keeled, margins membranous; leaf blades distichous, linear, rather stiffly ascending, 2.5–15 × 0.3–0.8 cm, apex acute; ligule 0.5–1 mm. Inflorescence of (1–)2(–3) racemes arising together at culm apex; racemes 2–5 cm, usually closely approximate when young, later spreading; spikelets single, in 2 rows; rachis 1–2 mm wide. Spikelets pale brownish green, narrowly lanceolate-oblong, strongly flattened, 3.5–4 mm, acute; lower glume absent or rarely a tiny vestige; upper glume thinly papery, weakly 5-veined, midvein often suppressed, glabrous; lower lemma resembling upper glume; upper lemma pale green, 2.5–3 mm, shorter than spikelet, cartilaginous, apex minutely pubescent. Fl. and fr. Jun–Sep."
Ximenia americana,"Hog plum, Spanish plum, spiny plum, tallow wood Hog plum, Spanish plum, spiny plum, tallow wood 
"
Ximenia americana,"

Shrub or tree, 2-4 m tall. Branchlets usually spiny. Petiole 3-5 mm; leaf blade ovate, elliptic, or obovate, 3-5 × 2-3 cm, ± leathery, base obtuse, apex obtuse, apiculate, mucronulate, or sometimes emarginate; secondary veins 3-5 on each side of midvein. Cymes or racemes 1.5-2.5 cm, 3-6-flowered. Pedicel 2-3 mm. Calyx cupular, ca. 1 mm. Petals 4 or 5, white or greenish, oblong, 5-7 mm, inside white-barbate. Stamens 8 or 10. Ovary ovoid-conic. Drupe orange, ± globose to ovoid, 2-3 cm in diam. Fl. and fr. Mar-Jun."
Dodonaea viscosa,"

Shrubs or small trees, 1-3 m tall or higher. Branches flat, narrowly winged or ridged, with sticky juice. Leaves simple; petiole short or nearly absent; blades variable in shape and size, linear, linear-spoon-shaped, linear-lanceolate, or oblong, 5-12 × 0.5-4 cm, papery, both surfaces with sticky juice, glabrous, nitid when dry, lateral veins many, dense, very slender, margin entire or inconspicuously shallowly wavy, apex acute, obtuse, or rounded. Inflorescences terminal or axillary near apices, shorter than leaves, densely flowered, rachis and branches ridged. Pedicels 2-5 mm, sometimes to 1 cm, slender. Sepals 4, lanceolate or narrowly elliptic, ca. 3 mm, apex obtuse. Stamens 7 or 8; filaments less than 1 mm; anthers incurved, ca. 2.5 mm, glandular. Ovary ellipsoid, abaxially with sticky juice, 2- or 3-loculed; style ca. 6 mm, apex 2- or 3-lobed. Capsules obcordiform or compressed-globose, 2- or 3-winged, 1.5-2.2 cm tall, with wing 1.8-2.5 cm wide; testa membranous or papery, veined. Seeds 1 or 2 per locule, black, lenslike. Fl. late autumn, fr. late autumn-early spring. 2n = 28."
Dodonaea viscosa,"

An evergreen shrub up to 5 m tall; young parts covered with a yellow, viscid resin. Leaves sub-sessile, oblanceolate to spathulate, 3-9 cm long, 0.5-2 cm broad, glabrous, entire, sub-acute to apiculate. Panicles terminal, c. 3 cm long; flowers greenish yellow; pedicel 4-8 mm long. Sepals 3-5, connate at the base, ovate, 3 mm long, puberulous; persistent. Stamens 6-8, free, rudimentary in the female flower; anthers subsessile, oblong, 2-5 mm long, sparsely hairy at the tip. Disc annular, cushion-shaped. Ovary triquetrous, 2.2 mm long, 3-locular, sparsely hairy, rudimentary in the male flower; style 3 mm long, minutely papillose; stigma 3-fid. Capsule 12-14 mm long, 15-19 mm broad, 2-4 valved; valves membranous, light brown, green or maroon, winged at the back. Seed sub-globose, c. 4 mm long, black.


A component of the scrub vegetation of low hilly areas. The quick growth and gregarious habit of this shrub makes it an excellent hedge plant. The branches are used as fire-wood and as a support for the flat mud roofs in village houses. The wood can be used for making walking sticks and tool-handles."
Ficus microcarpa,"

Trees , evergreen, to 30 m.  Roots  aerial, abundant, sometimes developing pillar-roots.  Bark  gray.  Branchlets  brown, glabrous.  Leaves:  stipules 0.7-0.9 cm; petiole 0.5-1 cm.  Leaf blade  elliptic, obovate to ovate, 3-11 × 1.5-6 cm, thinly leathery, base obtuse to cuneate, margins entire, apex nearly acute to acuminate; surfaces abaxially and adaxially glabrous; basal veins 1(-2) pairs; lateral veins 5-9 pairs, uniformly spaced.  Syconia  paired, sessile, purple or black, obovoid, pyriform, or nearly globose, 9-11 × 5-6 mm; subtending bracts ovate-lanceolate, 1.5-3.5 mm, apex obtuse to subacute; ostiole closed by 3 flat, apical bracts 2-2.5 mm wide, umbonate."
Ficus microcarpa,"

Trees, 15-25 m tall, crown wide, d.b.h. to 50 cm. Bark dark gray. Branches producing rust-colored aerial roots when old. Stipules lanceolate, ca. 0.8 cm. Petiole 5-10 mm, glabrous; leaf blade narrowly elliptic, 4-8 × 3-4 cm, ± leathery, adaxially dark green and shiny but dark brown when dry, base cuneate, margin entire, apex ± obtuse; basal lateral veins long, secondary veins 3-10 on each side of midvein. Figs axillary on leafy branchlets or on leafless older branchlets, paired, yellow to slightly red when mature, depressed globose, 6-8 mm in diam., inside with a few short bristles among flowers, sessile; involucral bracts broadly ovate, persistent. Male, gall, and female flowers within same fig. Male flowers: scattered, sessile or pedicellate; filament as long as anther. Gall and female flowers: sepals 3, broadly ovate; style ± lateral; stigma short, clavate. Achenes ovoid. Fl. May-Jun.


This species is commonly cultivated in China as a shade tree."
Ficus microcarpa,"

A moderate to large, evergreen, up to 15-20 m tall tree, with a dense rounded crown. Trunk 2-3 m in circumference, with few to several aerial roots from the branches which rarely reach the ground, bark grey, young shoots glabrous to ± puberulous, brown to dark brown. Leaves with 5-20 mm long petiole; lamina glossy-coriaceous, elliptic-ovate to obovate or rhomboid, (3-) 5-10 (-12) cm long, (1.5-) 2-5 (-6) cm broad, 3-oostate at the cuneate-attenuate base, entire, obtuse to subacute with a blunt short acumen rarely retuse, lateral nerves 5-9 pairs, slightly or not bluging beneath, intercostals not much prominent; stipules stiff, lanceolate, 10-15 mm long, glabrous to ciliate margined, fugaceous; cystoliths present on both sides. Hypanthodia monoecious, sessile, in axillary pairs, pairs, depressed-globose, 4-5 mm in diameter, subtended by 3, ante, 1.5-33 mm long, glabrous basal bracts, apical orifice covered by (2-) 3, deltoid bracts; internal birdies present, short. Male flowers: sessile to subsessile; sepals 3, spathulate-ovate; stamen single with a hardly asserted anther. Female flowers: sessile; sepals as in male; ovary with a short, subterminal style, stigma davits. Gall flowers pedicellate. Figs pyriform to subglobose, 8-10 mm in diem., pink to reddish purple and black, glabrous.

Type: “Habitat in Java”, Thunberg, Herb. Linn. 1240.19 (LINN). "
Rhodomyrtus tomentosa,"

Shrubs, 1-2 m tall. Branchlets grayish tomentose. Leaves opposite; petiole 4-7 mm; leaf blade elliptic to obovate, 3-8 × 1-4 cm, leathery, pubescent when young but glabrescent and shiny with age, abaxially gray tomentose, secondary veins 1 on each side of midvein, originating near leaf blade base, and meeting at apex, tertiary veins 4-6 on each side of midvein and connecting midvein to secondary veins, reticulate veins obvious, intramarginal veins 3-4 mm from margin, base broadly cuneate, apex rounded to obtuse and often slightly emarginate or sometimes slightly apiculate. Flowers 1[-3], stipitate, 2-4 cm in diam. Hypanthium obovoid, ca. 6 mm, gray tomentose. Calyx lobes 5, subrounded, 4-5 mm, persistent. Petals 5, violet, obovate, 1.3-2 cm. Stamens red, 7-8 mm. Ovary 3(or 4)-loculed. Style ca. 1 cm. Berry purplish black when mature, urceolate, 1.5-2 × 1-1.5 cm. Fl. Apr-May."
Ligustrum lucidum,"

Shrubs or trees to 25 m, evergreen or deciduous, glabrous. Branchlets terete. Petiole 1-3 cm; leaf blade ovate to sometimes broadly elliptic or elliptic to lanceolate, 6-17 × 3-8 cm, leathery or papery, base rounded or sometimes attenuate, apex acute to acuminate or sometimes obtuse; primary veins 4-11 on each side of midrib, slightly raised or obscure. Panicles terminal, 8-20 × 8-25 cm; rachis angular in fruit. Flowers sessile or nearly so. Calyx 1.5-2 mm. Corolla 4-5 mm; tube ca. as long as lobes. Stamens approaching apex of corolla lobes; anthers 1-1.5 mm. Fruit deep blue-black, ripening red-black, reniform or nearly so, 7-10 × 4-6 mm. Fl. May-Jul, fr. Jul-May.


Evergreen plants with (4 or)5 or 6(-9) primary veins on each side of leaf blade midrib have been recognized as f. lucidum, whereas deciduous plants with 7-11 primary veins on each side of leaf blade midrib as f. latifolium (W. C. Cheng) P. S. Hsu.
"
Ligustrum lucidum,"

Tree or large shrub, evergreen. Leaves 4-10 (-17) cm long, 3-5 (-7) cm broad, oval to oblong-oval or broadly elliptic, acute or acuminate, base rounded, coriaceous, shining above, lateral nerves 4-6 pairs; petiole 1-2 cm. Pyramidal panicles up to 20 cm long, at the base up to 17 cm broad. Flowers creamish-white, strongly scented, almost sessile. Corolla tube as long as the calyx, lobes usually longer than the tube. Young fruit obovoid or ovoid, ripe subglobose, 6-8 mm in diam., purplish-blue."
Broussonetia papyrifera,"Paper-mulberry  



Trees , to 15 m.  Bark  tan, smooth or moderately furrowed.  Branchlets  brown, spreading pubescent.  Terminal bud  absent, axillary buds dark brown, short-pubescent; leaf scars nearly circular, somewhat elevated.  Leaves:  stipules ovate to ovate-oblong, apex attenuate; petiole shorter than or equal to blade.  Leaf blade  entire or 3-5-lobed, 6-20 × 5-15 cm, base shallowly cordate, often oblique, truncate, or broadly rounded, margins serrate, apex acuminate; surfaces abaxially densely gray-pubescent, adaxially scabrous.  Staminate inflorescences  6-8 cm; peduncle 2-4 cm.  Pistillate inflorescences  ca. 2 cm diam., villous.  Staminate flowers:  sepals pubescent.  Pistillate flowers:  style elongate-filiform.  Syncarps  globose, 2-3 cm diam.; drupes red or orange, oblanceolate, each exserted from its calyx.


Broussonetia papyrifera is now widely naturalized in eastern United States. Frequently planted as a shade tree around dwellings, it is often considered undesirable because of its aggressiveness, shallow root system, and soft, brittle wood. The bark of the tree is used to produce a barkcloth."
Broussonetia papyrifera,"

Trees 10-20 m tall, flowers always produced on leafy stems; dioecious. Bark dark gray. Branchlets densely pubescent. Stipules ovate, 1.5-2 × 0.8-1 cm, apex attenuate. Leaves spirally arranged; petiole 2.3-8 cm; leaf blade broadly ovate to narrowly elliptic-ovate, simple or 3-5-lobed on young trees, 6-18 × 5-9 cm, abaxially densely pubescent but veins with coarser hairs, adaxially scabridulous and sparsely pubescent, base cordate and asymmetric, margin coarsely serrate, apex acuminate; secondary veins 6 or 7 on each side of midvein. Male inflorescences long spicate, 3-8 cm; bracts lanceolate, pubescent. Female inflorescences globose; bracts clavate, apically pubescent. Male flowers: calyx 4-lobed, lobes triangular-ovate and pubescent; anthers globose. Female flowers: calyx pipelike, lobes apically connate with style; ovary ovoid; stigma linear, pubescent. Syncarp orange-red when mature, 1.5-3 cm in diam., mostly pubescent with scattered stout and ± barbed hairs, fleshy. Drupelets equal in length to peduncle, with 2 rows of small verruca; exocarp shell-like. Fl. Apr-May, fr. Jun-Jul.


The bark fibers are used for making paper, the wood is used for furniture, and the leaves, fruit, and bark are used medicinally."
Broussonetia papyrifera,"English: Paper-mulberry, Tapa cloth tree.  



A small to medium sized, 3-12 (-16) m tall, dioecious, deciduous tree, upright branches from the base and grey, smooth bark. Young shoots densely villous. Leaves papery, with a densely hairy, (1.5-) 2-12 (-15) cm long petiole; lamina obliquely broad ovate to ovate-elliptic or ± oblong, 4.18 (-20) cm (2-) 3-14 (-16) cm broad, scabrous above, densely soft hairy beneath especially along the veins, entire or serrulate to finely dentate, unlobed or palmately deeply divided with open to close broad obtuse sinuses, 3-costate from truncate to shallowly cordate base, apex short acuminate; stipules ovate, 5-15 mm long, 4-10 mm broad, densely hairy, acuminate. Male catkins axillary or crowded at termini of young shoots, (2-) 5-15 cm long inclusive upto 2 an long hairy peduncles. Male flowers: sepals ovate 1.5-2 mm long, c. 1 mm wide, whitish hairy outside; stain final filaments longer than sepals, with much extorted oval anthers. Female heads globose, solitary on 5-8 (-10) mm long hairy peduncles, 10-20 mm in diameter. Female flowers: sepals oblong connate, c. 2 mm long, with acute long hairy tips; ovary stipitate, included with c. 5-6 mm long, filiform, pink styles. Etaerio of drupes globose, 2-3 cm diameter, orange-red.

Type: Described from Japan, Herb. Linn. 1112/4 (LINN). 


Cultivated in Northern Districts of Pakistan as a roadside tree. The bark is used for manufacturing paper in China and Japan and Taps cloth in Polynesia."
Triadica sebifera,"Chinese tallowtree, candleberry tree, popcorn tree Chinese tallowtree, candleberry tree, popcorn tree 



Trees, to 13 m (fertile from 1 m). Leaves: stipules persistent, elliptic, 0.7–1 × 0.5–0.7 mm; petiole 2–7 cm, glands 2, discoid, adaxial; blade ovate to broadly elliptic or rhomboid, 3.5–10 × 3–9.5 cm, base broadly cuneate to nearly truncate, apex acuminate; laminar glands 0–10, elliptic, 0.3 × 0.2 mm, usually on distal 1/2 of leaf. Inflorescences to 20 cm; staminate cymules numerous, 10–20 flowered, bracts ovate, 1.5 mm, subtended by 2[–4] ellipsoid glands; pistillate flowers 0–6 per inflorescence, 1 per bract (often in bisexual cymules with 0–5 staminate flowers), bracts of basal flowers usually not subtended by ellipsoid glands. Pedicels: staminate 1.5–3 mm; pistillate 1–2 mm, to 12 mm in fruit. Staminate flowers yellow; sepals 0.5–1 mm, shallowly 3-lobed, margins erose; filaments to 0.2–0.3 mm; anthers 0.5 mm. Pistillate flowers yellowish green; sepals 2–3 × 1 mm, apex acuminate; styles 4–8 mm, coiled distally. Capsules 1–1.3 cm diam., subglobose, trigonous; columella 1 cm. Seeds 6–9 × 4–7 mm, usually remaining attached to columella; outer seed coat white, waxy; inner coat woody, brown, smooth. 2n = 88."
Triadica sebifera,"

Trees to 15 m tall, monoecious, glabrous; bark dark green, with longitudinal stripes, pale brownish when older; branchlets spreading, lenticellate. Leaves alternate; stipules 1-1.5 mm; petiole 2.5-6 cm, 2-glandular at apex; leaf blade rhomboid, rhomboid-ovate, broadly ovate, or rarely rhomboid-obovate, 3-13 × 3-9 cm, papery, base broadly rounded, truncate, or sometimes shallowly cordate, margin entire, apex acutely acuminate; midrib slightly elevated on both surfaces, lateral veins 6-12. Flowers yellowish green in terminal 3-35 cm racemes, female in lower part, male in upper part or male throughout. Male flowers 10-15 per bract; bracts broadly ovate, 1.5-2 × 1.5-2 mm, basal glands nearly reniform; pedicels slender, 1-4 mm; bracteoles 3, unequal, margins lacerate; calyx cup-shaped, shallowly 3-lobed, lobes obtuse, irregularly serrulate; stamens 2 or 3, exceeding calyx; filaments free, nearly as long as globose anthers. Female flowers 1 per bract, sometimes with several additional male flowers; bracts 3-partite, lobes acuminate, glands as in male; pedicels stout, 2-5 mm; bracteoles as in male flowers; calyx 3-partite, lobes ovate or ovate-lanceolate; ovary ovoid-globose, smooth, 3-celled; styles 3, connate at base; stigma revolute. Infructescences up to 28 cm; capsules subglobose to pyriform-globose, black when mature, 11-13 mm in diam., 3-seeded; cocci deciduous; columella persistent. Seeds oblate, ca. 8 × 6-7 mm, black, covered with white, waxy aril. Fl. Apr-Aug, fr. Aug-Dec. 2n = 44."
